condition	page_z	drug	lfdr_page_z
crohn_quote_s_disease	5.46397951219126	0173570-0000	1.29371115451181e-06
crohn_quote_s_disease	1.37005160945521	0175029-0000	1
crohn_quote_s_disease	-10.7244678761548	0179445-0000	1
crohn_quote_s_disease	-0.823771608481828	0198306-0000	1
crohn_quote_s_disease	-1.00123385405194	0225151-0000	1
crohn_quote_s_disease	-17.6090077053093	0297417-0002B	1
crohn_quote_s_disease	-2.48364433549736	0316684-0000	1
crohn_quote_s_disease	-11.4218066596567	0317956-0000	1
crohn_quote_s_disease	9.04787661630267	10-methoxyharmalan	1.05960021388959e-17
crohn_quote_s_disease	0.512853483324901	11-deoxy-16,16-dimethylprostaglandin E2	1
crohn_quote_s_disease	0.532537163861588	12,13-EODE	1
crohn_quote_s_disease	-0.790082649019347	1,4-chrysenequinone	1
crohn_quote_s_disease	4.78061332749402	15-delta prostaglandin J2	6.52200771256996e-05
crohn_quote_s_disease	12.8236571022552	1,5-isoquinolinediol	1.13284530771031e-35
crohn_quote_s_disease	-2.21444240324291	15(S)-15-methylprostaglandin E2	1
crohn_quote_s_disease	22.1296270193100	16,16-dimethylprostaglandin E2	3.45453543622278e-106
crohn_quote_s_disease	3.5519687199659	16-phenyltetranorprostaglandin E2	0.0113632842717094
crohn_quote_s_disease	-3.36873938083374	2,6-dimethylpiperidine	1
crohn_quote_s_disease	-5.09149347132227	2-aminobenzenesulfonamide	1
crohn_quote_s_disease	2.03383018015848	2-deoxy-D-glucose	1
crohn_quote_s_disease	12.1155144565678	3-acetamidocoumarin	1.53236331081266e-30
crohn_quote_s_disease	-7.82284135134398	3-acetylcoumarin	1
crohn_quote_s_disease	-5.34131669541068	3-aminobenzamide	1
crohn_quote_s_disease	-3.50770131782768	3-hydroxy-DL-kynurenine	1
crohn_quote_s_disease	10.9062109960585	3-nitropropionic acid	9.05026185141107e-26
crohn_quote_s_disease	-3.7674827879013	4,5-dianilinophthalimide	1
crohn_quote_s_disease	-4.52432983455735	4-hydroxyphenazone	1
crohn_quote_s_disease	1.65779701548985	5109870	1
crohn_quote_s_disease	27.129867535759	5114445	7.8041649816364e-154
crohn_quote_s_disease	20.3867514898552	5140203	3.57194697348925e-90
crohn_quote_s_disease	2.81067494405011	5149715	0.124295226727962
crohn_quote_s_disease	10.4398807638031	5151277	1.64531632651908e-23
crohn_quote_s_disease	2.59069427030291	5152487	0.99999999999995
crohn_quote_s_disease	3.21276212210277	5155877	0.0205779901690134
crohn_quote_s_disease	4.12304591140316	5162773	0.00092395607094811
crohn_quote_s_disease	7.2813546881136	5182598	1.92658152135414e-11
crohn_quote_s_disease	17.2364920686938	5186223	7.41767550463208e-64
crohn_quote_s_disease	22.4000881082016	5186324	3.45453543622278e-106
crohn_quote_s_disease	6.34913331002278	5194442	9.8337980737328e-09
crohn_quote_s_disease	0.555630536643722	5211181	1
crohn_quote_s_disease	9.84615791770258	5213008	5.56592697101507e-21
crohn_quote_s_disease	5.10937496675833	5224221	1.07093960997860e-05
crohn_quote_s_disease	0.0761802596871683	5230742	1
crohn_quote_s_disease	-1.40652436922584	5248896	1
crohn_quote_s_disease	-5.40885415366421	5252917	1
crohn_quote_s_disease	-15.6247044013917	5253409	1
crohn_quote_s_disease	0.137490986636656	5255229	1
crohn_quote_s_disease	-7.96789066120459	5279552	1
crohn_quote_s_disease	10.7858382723990	5286656	1.28399721202877e-24
crohn_quote_s_disease	24.4356909642864	5666823	7.18367622914113e-125
crohn_quote_s_disease	-1.89069619276646	5707885	1
crohn_quote_s_disease	13.0057149392742	6-azathymine	1.10232212913828e-36
crohn_quote_s_disease	-22.1378935569511	6-benzylaminopurine	1
crohn_quote_s_disease	-5.41551431971267	6-bromoindirubin-3__quote__-oxime	1
crohn_quote_s_disease	8.78436315133333	7-aminocephalosporanic acid	4.27398604247909e-16
crohn_quote_s_disease	1.6859857974536	8-azaguanine	1
crohn_quote_s_disease	-8.96287439253389	abamectin	1
crohn_quote_s_disease	-34.9963578033959	acacetin	1
crohn_quote_s_disease	-6.03862658601571	acebutolol	1
crohn_quote_s_disease	-6.99942490168033	aceclofenac	1
crohn_quote_s_disease	1.84181716481932	acemetacin	1
crohn_quote_s_disease	0.061458923406886	acenocoumarol	1
crohn_quote_s_disease	-6.55195494696698	acepromazine	1
crohn_quote_s_disease	7.79848062465379	acetazolamide	7.63674573998302e-13
crohn_quote_s_disease	-4.76136543175576	acetohexamide	1
crohn_quote_s_disease	2.91243369681557	acetylsalicylic acid	0.0815820780794424
crohn_quote_s_disease	8.0989049716105	acetylsalicylsalicylic acid	4.81302859840934e-14
crohn_quote_s_disease	14.8051850430523	aciclovir	6.82898480371975e-46
crohn_quote_s_disease	7.59700034675698	aconitine	1.58362269915488e-12
crohn_quote_s_disease	2.30921184404216	adenosine phosphate	1
crohn_quote_s_disease	6.16658416101878	adiphenine	2.92930714182439e-08
crohn_quote_s_disease	-9.56472028745242	adipiodone	1
crohn_quote_s_disease	3.28267418544759	adrenosterone	0.0164955616243994
crohn_quote_s_disease	12.5687764631492	AG-012559	9.1053920767001e-34
crohn_quote_s_disease	-2.30654063541267	AG-013608	1
crohn_quote_s_disease	13.7598901913212	AG-028671	1.50692932954745e-40
crohn_quote_s_disease	8.51208206031487	AH-23848	5.7338080846424e-16
crohn_quote_s_disease	-7.65906434373836	AH-6809	1
crohn_quote_s_disease	5.43237864047474	ajmaline	1.29371115451181e-06
crohn_quote_s_disease	6.71688461615834	albendazole	1.05018855983402e-09
crohn_quote_s_disease	-11.8790723555458	alclometasone	1
crohn_quote_s_disease	-26.8322610268909	alcuronium chloride	1
crohn_quote_s_disease	4.8983979368204	alexidine	5.15504731766668e-05
