low_ci	median	up_ci	disease	N_drugs	eigen_vector	conf.level	touch_05	condition
0.346445678328113	0.62938177182919	0.912317865330268	atrial_fibrillation	6	PC1	0.95	0	crohn_quote_s_disease
0.458623975229417	0.588533114395183	0.71844225356095	dementia	7	PC1	0.95	0	crohn_quote_s_disease
0.27831967959952	0.484778420038536	0.691237160477552	heart_failure	10	PC1	0.95	0	crohn_quote_s_disease
0.0914860898541512	0.382824427480916	0.674162765107681	headache	5	PC1	0.95	0	crohn_quote_s_disease
0.160337242648116	0.366666666666667	0.572996090685218	postoperative_pain	9	PC1	0.95	0	crohn_quote_s_disease
0.374330190944211	0.532555123216602	0.690780055488992	pain	15	PC1	0.95	0	crohn_quote_s_disease
0.480946331822609	0.622844019497563	0.764741707172517	healthy	21	PC1	0.95	0	crohn_quote_s_disease
0.112038803894869	0.330916030534351	0.549793257173834	pregnancy	5	PC1	0.95	0	crohn_quote_s_disease
0.110868484398851	0.340076335877863	0.569284187356874	postoperative_nausea_and_vomiting	5	PC1	0.95	0	crohn_quote_s_disease
0.257893788611351	0.436217948717949	0.614542108824546	kidney_transplantation	9	PC1	0.95	0	crohn_quote_s_disease
0.219500535181772	0.455152671755725	0.690804808329679	graft_rejection	5	PC1	0.95	0	crohn_quote_s_disease
0.227883086294355	0.454285714285714	0.680688342277073	kidney_transplant	4	PC1	0.95	0	crohn_quote_s_disease
0.188419366849738	0.372530274059911	0.556641181270084	hepatitis_c	6	PC1	0.95	0	crohn_quote_s_disease
0.333254378172588	0.526149526149526	0.719044674126464	diabetic_nephropathy	11	PC1	0.95	0	crohn_quote_s_disease
0.40154662475059	0.538648090815273	0.675749556879957	diabetes_mellitus	19	PC1	0.95	0	crohn_quote_s_disease
0.268418836197409	0.486084452975048	0.703750069752687	alcoholism	8	PC1	0.95	0	crohn_quote_s_disease
0.370617201054561	0.590366088631985	0.810114976209408	type_2	10	PC1	0.95	0	crohn_quote_s_disease
0.102271753937680	0.383365200764818	0.664458647591956	osteoarthritis	6	PC1	0.95	0	crohn_quote_s_disease
0.403117996007598	0.500879339348524	0.59864068268945	hypertension	26	PC1	0.95	0	crohn_quote_s_disease
0.257001177230266	0.539356277884003	0.821711378537739	ventricular_dysfunction	6	PC1	0.95	0	crohn_quote_s_disease
0.257001177230266	0.539356277884003	0.821711378537739	left	6	PC1	0.95	0	crohn_quote_s_disease
0.230931854547065	0.424358974358974	0.617786094170884	asthma	9	PC1	0.95	0	crohn_quote_s_disease
0.523111718742918	0.6521113243762	0.781110930009481	major_depression	8	PC1	0.95	1	crohn_quote_s_disease
0.486738959914732	0.666221374045802	0.845703788176871	major_depressive_disorder	5	PC1	0.95	0	crohn_quote_s_disease
0.422855640127388	0.557004160887656	0.691152681647924	depression	14	PC1	0.95	0	crohn_quote_s_disease
0.459303568067551	0.565373280943026	0.6714429938185	schizophrenia	20	PC1	0.95	0	crohn_quote_s_disease
0.310045198269641	0.511636276391555	0.713227354513468	schizoaffective_disorder	8	PC1	0.95	0	crohn_quote_s_disease
0.358630355404458	0.508041504539559	0.657452653674660	bipolar_disorder	15	PC1	0.95	0	crohn_quote_s_disease
0.174702164315294	0.360687022900763	0.546671881486233	sepsis	5	PC1	0.95	0	crohn_quote_s_disease
0.105976488960024	0.388931297709924	0.671886106459823	liver_cirrhosis	5	PC1	0.95	0	crohn_quote_s_disease
0.200180000710113	0.448282442748092	0.69638488478607	infection	5	PC1	0.95	0	crohn_quote_s_disease
0.128001910101925	0.449618320610687	0.771234731119449	rheumatoid	5	PC1	0.95	0	crohn_quote_s_disease
0.300656026497963	0.515714971209213	0.730773915920463	rheumatoid_arthritis	8	PC1	0.95	0	crohn_quote_s_disease
0.168548916238486	0.433237731038878	0.697926545839271	arthritis	6	PC1	0.95	0	crohn_quote_s_disease
