hepatocellular_carcinoma	kif1b
plasma_eosinophil_count	sh2b3
plasma_eosinophil_count	atxn2
plasma_eosinophil_count	il1rl1
plasma_eosinophil_count	il18r1
plasma_eosinophil_count	ac093865.1
plasma_eosinophil_count	tmed10p2
plasma_eosinophil_count	il5
fuch_quote_s_corneal_dystrophy	tcf4
fuch_quote_s_corneal_dystrophy	ac091103.1
migraine	ap003117.1
smoking_cessation	rgs6
periodontitis	glt6d1
pancreatic_cancer	nr5a2
pancreatic_cancer	u6
pancreatic_cancer	abo
type_2_diabetes	hhex
type_2_diabetes	hhex
type_2_diabetes	hhex
type_2_diabetes	hhex
type_2_diabetes	hhex
type_2_diabetes	y_rna
type_2_diabetes	y_rna
type_2_diabetes	y_rna
type_2_diabetes	y_rna
type_2_diabetes	y_rna
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	tcf7l2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	rp11-139k1.2
type_2_diabetes	kcnq1
type_2_diabetes	kcnq1
type_2_diabetes	kcnq1
type_2_diabetes	kcnq1
type_2_diabetes	kcnq1
type_2_diabetes	kcnq1ot1
type_2_diabetes	kcnq1ot1
type_2_diabetes	ac124798.1
type_2_diabetes	ac124798.1
type_2_diabetes	ac124798.1
type_2_diabetes	kcnj11
type_2_diabetes	kcnj11
type_2_diabetes	kcnj11
type_2_diabetes	abcc8
type_2_diabetes	abcc8
type_2_diabetes	abcc8
type_2_diabetes	arap1
type_2_diabetes	ap003065.3
type_2_diabetes	rp11-31l22.2
type_2_diabetes	rpsap52
type_2_diabetes	tspan8
type_2_diabetes	hnf1a
type_2_diabetes	c12orf43
type_2_diabetes	oasl
type_2_diabetes	zfand6
type_2_diabetes	snord112
type_2_diabetes	fah
type_2_diabetes	ac068831.2
type_2_diabetes	rccd1
type_2_diabetes	prc1
type_2_diabetes	y_rna
type_2_diabetes	fto
type_2_diabetes	fto
type_2_diabetes	fto
type_2_diabetes	fto
type_2_diabetes	smg6
type_2_diabetes	srr
type_2_diabetes	al450226.1
type_2_diabetes	tsr1
type_2_diabetes	snord91
type_2_diabetes	snord91
type_2_diabetes	al359752.1
type_2_diabetes	notch2
type_2_diabetes	dusp9
type_2_diabetes	thada
type_2_diabetes	ac007381.3
type_2_diabetes	ac007381.2
type_2_diabetes	rbms1
type_2_diabetes	ctd-2230d16.1
type_2_diabetes	ac108670.1
type_2_diabetes	ac108670.1
type_2_diabetes	ac108670.1
type_2_diabetes	igf2bp2
type_2_diabetes	igf2bp2
type_2_diabetes	igf2bp2
type_2_diabetes	igf2bp2
type_2_diabetes	igf2bp2
type_2_diabetes	wfs1
type_2_diabetes	ppp2r2c
type_2_diabetes	ctc-564n23.3
type_2_diabetes	ac008581.1
type_2_diabetes	ctc-564n23.5
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	cdkal1
type_2_diabetes	rp3-348i23.3
type_2_diabetes	jazf1
type_2_diabetes	jazf1
type_2_diabetes	c8orf38
type_2_diabetes	tp53inp1
type_2_diabetes	slc30a8
type_2_diabetes	slc30a8
type_2_diabetes	slc30a8
type_2_diabetes	slc30a8
type_2_diabetes	slc30a8
type_2_diabetes	slc30a8
type_2_diabetes	ac084114.1
type_2_diabetes	ac084114.1
type_2_diabetes	ac084114.1
type_2_diabetes	ac084114.1
type_2_diabetes	ac084114.1
type_2_diabetes	ac084114.1
type_2_diabetes	ptprd
type_2_diabetes	rp11-75c9.1
type_2_diabetes	snord27
type_2_diabetes	cdkn2bas
type_2_diabetes	cdkn2bas
type_2_diabetes	cdkn2bas
type_2_diabetes	cdkn2bas
atrial_fibrillation	atbf1
atrial_fibrillation	atbf1
atrial_fibrillation	ac132068.1
atrial_fibrillation	kcnn3
atrial_fibrillation	rp11-777n19.1
atrial_fibrillation	rp11-777n19.1
