affy_hg_u133_plus_2	ensembl_gene_id	hgnc_symbol	entrezgene	uniprot_swissprot_accession	chromosome_name	start_position	end_position	band
1007_s_at	ENSG00000204580	DDR1	780	Q08345	6	30844198	30867933	p21.33
1007_s_at	ENSG00000204580	DDR1	780		6	30844198	30867933	p21.33
1053_at	ENSG00000049541	RFC2	5982		7	73645829	73668774	q11.23
1053_at	ENSG00000049541	RFC2	5982	P35250	7	73645829	73668774	q11.23
117_at	ENSG00000173110	HSPA6	3310	P17066	1	161494036	161496681	q23.3
117_at	ENSG00000173110	HSPA6	3310		1	161494036	161496681	q23.3
121_at	ENSG00000125618	PAX8	7849		2	113973574	114036498	q13
121_at	ENSG00000125618	PAX8	7849	Q06710	2	113973574	114036498	q13
1255_g_at	ENSG00000048545	GUCA1A	2978	P43080	6	42123144	42147794	p21.1
1255_g_at	ENSG00000048545	GUCA1A	2978		6	42123144	42147794	p21.1
1294_at	ENSG00000182179	UBA7	7318	P41226	3	49842640	49851379	p21.31
1316_at	ENSG00000126351	THRA	7067		17	38218446	38250120	q21.1
1320_at	ENSG00000070778	PTPN21	11099	Q16825	14	88932122	89016966	q31.3
1320_at	ENSG00000070778	PTPN21	11099		14	88932122	89016966	q31.3
1405_i_at	ENSG00000161570	CCL5	6352	P13501	17	34198495	34207797	q12
1431_at	ENSG00000130649	CYP2E1	1571		10	135333910	135374724	q26.3
1431_at	ENSG00000130649	CYP2E1	1571	P05181	10	135333910	135374724	q26.3
1438_at	ENSG00000182580	EPHB3	2049	P54753	3	184279572	184300197	q27.1
1487_at	ENSG00000173153	ESRRA	2101		11	64073044	64084215	q13.1
1487_at	ENSG00000173153	ESRRA	2101	P11474	11	64073044	64084215	q13.1
1598_g_at	ENSG00000183087	GAS6	2621		13	114523524	114567046	q34
1598_g_at	ENSG00000183087	GAS6	2621	Q14393	13	114523524	114567046	q34
160020_at	ENSG00000157227	MMP14	4323	P50281	14	23305766	23318236	q11.2
1729_at	ENSG00000102871	TRADD	8717	Q15628	16	67188083	67193789	q22.1
177_at	ENSG00000075651	PLD1	5337		3	171318195	171528740	q26.31
177_at	ENSG00000075651	PLD1	5337	Q13393	3	171318195	171528740	q26.31
1861_at	ENSG00000002330	BAD	572	Q92934	11	64037302	64052176	q13.1
1861_at	ENSG00000002330	BAD	572		11	64037302	64052176	q13.1
200000_s_at	ENSG00000174231	PRPF8	10594	Q6P2Q9	17	1553923	1588154	p13.3
200000_s_at	ENSG00000174231	PRPF8	10594		17	1553923	1588154	p13.3
200001_at	ENSG00000126247	CAPNS1	826	P04632	19	36630918	36641254	q13.12
200002_at	ENSG00000136942	RPL35	11224		9	127620159	127624260	q33.3
200002_at	ENSG00000136942	RPL35	11224	P42766	9	127620159	127624260	q33.3
200003_s_at	ENSG00000108107	RPL28	6158		19	55897300	55903449	q13.42
200003_s_at	ENSG00000108107	RPL28	6158	P46779	19	55897300	55903449	q13.42
200004_at	ENSG00000110321	EIF4G2	1982		11	10818597	10830657	p15.3
200004_at	ENSG00000110321	EIF4G2	1982	P78344	11	10818597	10830657	p15.3
200005_at	ENSG00000100353	EIF3D	8664	O15371	22	36906897	36925483	q12.3
200005_at	ENSG00000100353	EIF3D	8664		22	36906897	36925483	q12.3
200006_at	ENSG00000116288	PARK7	11315	Q99497	1	8014351	8045565	p36.23
200007_at	ENSG00000140319	SRP14	6727	P37108	15	40327891	40331389	q15.1
200008_s_at	ENSG00000057608	GDI2	2665	P50395	10	5807186	5884095	p15.1
200008_s_at	ENSG00000057608	GDI2	2665		10	5807186	5884095	p15.1
200009_at	ENSG00000057608	GDI2	2665	P50395	10	5807186	5884095	p15.1
200009_at	ENSG00000057608	GDI2	2665		10	5807186	5884095	p15.1
200010_at	ENSG00000142676	RPL11	6135	P62913	1	24018269	24022915	p36.11
200010_at	ENSG00000142676	RPL11	6135		1	24018269	24022915	p36.11
200011_s_at	ENSG00000134287	ARF3	377	P61204	12	49297286	49351334	q13.12
200012_x_at	ENSG00000122026	RPL21	6144	P46778	13	27825446	27830828	q12.2
200012_x_at	ENSG00000122026	RPL21	6144		13	27825446	27830828	q12.2
200013_at	ENSG00000114391	RPL24	6152	P83731	3	101399935	101405626	q12.3
200013_at	ENSG00000114391	RPL24	6152		3	101399935	101405626	q12.3
200014_s_at	ENSG00000092199	HNRNPC	3183	P07910	14	21677295	21737638	q11.2
200014_s_at	ENSG00000092199	HNRNPC	3183		14	21677295	21737638	q11.2
200015_s_at	ENSG00000168385	SEPT2	4735	Q15019	2	242254515	242293442	q37.3
200015_s_at	ENSG00000168385	SEPT2	4735		2	242254515	242293442	q37.3
200016_x_at	ENSG00000135486	HNRNPA1	3178		12	54673977	54680872	q13.13
200016_x_at	ENSG00000135486	HNRNPA1	3178	P09651	12	54673977	54680872	q13.13
200017_at	ENSG00000143947	RPS27A	6233	P62979	2	55459039	55462989	p16.1
200018_at	ENSG00000110700	RPS13	6207	P62277	11	17095936	17099334	p15.1
200018_at	ENSG00000110700	RPS13	6207		11	17095936	17099334	p15.1
200019_s_at	ENSG00000149806	FAU	2197	P35544	11	64888100	64889945	q13.1
200019_s_at	ENSG00000149806	FAU	2197		11	64888100	64889945	q13.1
200019_s_at	ENSG00000149806	FAU	2197	P62861	11	64888100	64889945	q13.1
200020_at	ENSG00000120948	TARDBP	23435	Q13148	1	11072414	11085796	p36.22
200020_at	ENSG00000120948	TARDBP	23435		1	11072414	11085796	p36.22
